obs_id,target
246ScH1-hi55697.96443,KIC 11295426
246ScH1-hi55698.96230,KIC 11295426
246ScH1-hi55722.99496,KIC 11295426
246ScH1-hi55724.03363,KIC 11295426
246ScH1-hi55728.90094,KIC 11295426
246ScH1-hi55734.06407,KIC 11295426
246ScH1-hi55734.95104,KIC 11295426
246ScH1-hi55735.97473,KIC 11295426
246ScH1-hi55739.03418,KIC 11295426
246ScH1-hi55751.79695,KIC 11295426
246ScH1-hi55752.10470,KIC 11295426
246ScH1-hi55752.77896,KIC 11295426
246ScH1-hi55759.97517,KIC 11295426
246ScH1-hi55761.07646,KIC 11295426
246ScH1-hi55761.84184,KIC 11295426
246ScH1-hi55763.03274,KIC 11295426
246ScH1-hi55763.85104,KIC 11295426
246ScH1-hi55782.90786,KIC 11295426
246ScH1-hi55795.02425,KIC 11295426
246ScH1-hi55814.73595,KIC 11295426
246ScH1-hi56077.04518,KIC 11295426
246ScH1-hi56098.09379,KIC 11295426
246ScH1-hi56098.82899,KIC 11295426
246ScH1-hi56102.00790,KIC 11295426
246ScH1-hi56114.87187,KIC 11295426
246ScH1-hi56145.87541,KIC 11295426
246ScH1-hi56148.92877,KIC 11295426
246ScH1-hi56151.06087,KIC 11295426
246ScH1-hi56153.98304,KIC 11295426
246ScH1-hi56174.82657,KIC 11295426
1802S-hi56099.12431,KIC 11298298
128S-hi55783.05672,KIC 11359879
330S-hi55790.08560,KIC 11361646
1436S-hi56854.85435,KIC 11389771
1428S-hi56882.02588,KIC 11401182
277S-hi56889.92818,KIC 11401755
277Sc-hi56202.74641,KIC 11401755
277Sc-hi56880.98583,KIC 11401755
277Sc-hi56889.92818,KIC 11401755
277Sc-hi56892.94748,KIC 11401755
277Sc-hi56909.87158,KIC 11401755
277Sc-hi56912.82653,KIC 11401755
277Sc-hi57151.07637,KIC 11401755
277Sc-hi57180.09681,KIC 11401755
277Sc-hi57208.09563,KIC 11401755
277Sc-hi57232.98418,KIC 11401755
277Sc-hi57243.08217,KIC 11401755
277ScH1-hi56138.95933,KIC 11401755
173S-hi55791.00648,KIC 11402995
351S-hi56209.75702,KIC 11442793
1S-hi55728.92173,KIC 11446443
1434S-hi58294.00775,KIC 11493431
195S-hi56907.88473,KIC 11502867
195Sc-hi56907.88473,KIC 11502867
168S-hi56151.97748,KIC 11512246
352S-hi55735.89919,KIC 11521793
1655S-hi56116.09909,KIC 11547505
295S-hi55669.11987,KIC 11547513
295Sc-hi56913.89269,KIC 11547513
295ScH1-hi55810.81878,KIC 11547513
63S-hi55791.81339,KIC 11554435
63ScH1-gm55044.96927,KIC 11554435
1442S-hi56850.95791,KIC 11600889
1442Sc-hi56446.92439,KIC 11600889
1442Sc-hi56842.07958,KIC 11600889
1442Sc-hi56842.10079,KIC 11600889
1442Sc-hi56843.08236,KIC 11600889
1442Sc-hi56843.86060,KIC 11600889
1442Sc-hi56843.88390,KIC 11600889
1442Sc-hi56844.08250,KIC 11600889
1442Sc-hi56844.10397,KIC 11600889
1442Sc-hi56844.79847,KIC 11600889
1442Sc-hi56845.08418,KIC 11600889
1442Sc-hi56845.10627,KIC 11600889
1442Sc-hi56845.77689,KIC 11600889
1442Sc-hi56845.79864,KIC 11600889
1442Sc-hi56846.08591,KIC 11600889
1442Sc-hi56846.10708,KIC 11600889
1442Sc-hi56846.78053,KIC 11600889
1442Sc-hi56846.80370,KIC 11600889
1442Sc-hi56847.08664,KIC 11600889
1442Sc-hi56847.10517,KIC 11600889
1442Sc-hi56847.77603,KIC 11600889
1442Sc-hi56848.78544,KIC 11600889
1442Sc-hi56848.81236,KIC 11600889
1442Sc-hi56849.08624,KIC 11600889
1442Sc-hi56849.10926,KIC 11600889
1442Sc-hi56849.78436,KIC 11600889
1442Sc-hi56849.80438,KIC 11600889
1442Sc-hi56850.08609,KIC 11600889
1442Sc-hi56850.10729,KIC 11600889
1442Sc-hi56850.79046,KIC 11600889
1442Sc-hi56850.81137,KIC 11600889
1442Sc-hi56850.95791,KIC 11600889
1442Sc-hi56851.07996,KIC 11600889
1442Sc-hi56851.10156,KIC 11600889
1442Sc-hi56851.80848,KIC 11600889
1442Sc-hi56851.83013,KIC 11600889
1442Sc-hi56852.08276,KIC 11600889
1442Sc-hi56853.81617,KIC 11600889
1442Sc-hi56854.08368,KIC 11600889
1442Sc-hi56854.10793,KIC 11600889
1442Sc-hi56854.81854,KIC 11600889
1442Sc-hi56854.83985,KIC 11600889
1442Sc-hi56855.80970,KIC 11600889
1442Sc-hi56855.83086,KIC 11600889
1442Sc-hi56856.07862,KIC 11600889
1442Sc-hi56856.09999,KIC 11600889
1442Sc-hi56881.84829,KIC 11600889
1442Sc-hi56881.86694,KIC 11600889
1442Sc-hi56882.85035,KIC 11600889
1442Sc-hi56882.87120,KIC 11600889
1442Sc-hi56883.87197,KIC 11600889
1442Sc-hi56888.87037,KIC 11600889
1442Sc-hi56888.89147,KIC 11600889
1442Sc-hi56889.86570,KIC 11600889
1442Sc-hi56889.88674,KIC 11600889
1442Sc-hi56891.86834,KIC 11600889
1442Sc-hi56891.89415,KIC 11600889
1442Sc-hi56892.86269,KIC 11600889
1442Sc-hi56892.88423,KIC 11600889
1442Sc-hi56893.88470,KIC 11600889
1442Sc-hi56893.90607,KIC 11600889
1442Sc-hi56894.87709,KIC 11600889
1442Sc-hi56894.89848,KIC 11600889
1442Sc-hi56895.88763,KIC 11600889
1442Sc-hi56895.90898,KIC 11600889
1442Sc-hi57245.95753,KIC 11600889
1424S-hi58628.91984,KIC 11611600
355S-hi55673.05842,KIC 11621223
1532S-hi55738.89975,KIC 11656246
167S-hi55673.09107,KIC 11666881
1535S-hi55738.93057,KIC 11669125
1894S-hi56134.03412,KIC 11673802
435S-hi56196.84949,KIC 11709124
1832S-hi57207.09815,KIC 11709244
1883S-hi55808.88531,KIC 11758544
620S-hi56856.04593,KIC 11773022
296S-hi55704.05313,KIC 11802615
20S-hi55374.03207,KIC 11804465
20Sc-hi57203.88088,KIC 11804465
20ScH1-gm55014.91233,KIC 11804465
20ScH1-gm55016.79103,KIC 11804465
20ScH1-gm55017.03001,KIC 11804465
20ScH1-gm55017.10568,KIC 11804465
20ScH1-gm55019.11155,KIC 11804465
20ScH1-gm55027.05630,KIC 11804465
20ScH1-gm55041.99854,KIC 11804465
20ScH1-gm55042.79449,KIC 11804465
20ScH1-gm55073.83165,KIC 11804465
20ScH1-gm55075.83091,KIC 11804465
20ScH1-gm55079.83631,KIC 11804465
20ScH1-gm55079.85433,KIC 11804465
20ScH1-gm55080.87564,KIC 11804465
20ScH1-gm55084.86253,KIC 11804465
20ScH1-gm55134.82606,KIC 11804465
20ScH1-hi55374.03207,KIC 11804465
20ScH1-hi55437.78012,KIC 11804465
20ScH1-hi55439.75381,KIC 11804465
20ScH1-hi55759.86617,KIC 11804465
20ScH1-hi55761.82489,KIC 11804465
262S-hi56865.06162,KIC 11807274
262Sc-hi56847.70000,KIC 11807274
262Sc-hi56849.86925,KIC 11807274
262Sc-hi56852.10821,KIC 11807274
262Sc-hi56853.07180,KIC 11807274
262Sc-hi56856.12108,KIC 11807274
262Sc-hi56865.06162,KIC 11807274
262Sc-hi56865.08321,KIC 11807274
262Sc-hi56865.75270,KIC 11807274
262Sc-hi56866.88833,KIC 11807274
262Sc-hi56872.08287,KIC 11807274
262Sc-hi56873.09373,KIC 11807274
262Sc-hi56880.93609,KIC 11807274
262Sc-hi56883.97910,KIC 11807274
262Sc-hi56889.04012,KIC 11807274
262Sc-hi56891.83024,KIC 11807274
262Sc-hi56893.01279,KIC 11807274
262Sc-hi56893.76013,KIC 11807274
262Sc-hi56906.72644,KIC 11807274
262Sc-hi56907.74070,KIC 11807274
262Sc-hi56908.76933,KIC 11807274
262Sc-hi56909.95103,KIC 11807274
262Sc-hi56910.87263,KIC 11807274
262Sc-hi56911.96792,KIC 11807274
262Sc-hi56912.95996,KIC 11807274
262Sc-hi57000.68888,KIC 11807274
262Sc-hi57151.02766,KIC 11807274
262Sc-hi57179.95326,KIC 11807274
262Sc-hi57198.02386,KIC 11807274
262Sc-hi57203.00112,KIC 11807274
262Sc-hi57208.12178,KIC 11807274
262Sc-hi57211.08419,KIC 11807274
262Sc-hi57216.02883,KIC 11807274
262Sc-hi57218.06507,KIC 11807274
262Sc-hi57222.10414,KIC 11807274
262Sc-hi57232.97185,KIC 11807274
262ScH1-hi56103.03178,KIC 11807274
543S-hi56865.11476,KIC 11823054
7S-hi55043.93717,KIC 11853905
7Sc-hi57200.95525,KIC 11853905
7ScH1-gm55041.99099,KIC 11853905
7ScH1-gm55042.81847,KIC 11853905
7ScH1-gm55042.82644,KIC 11853905
7ScH1-gm55043.92170,KIC 11853905
7ScH1-gm55043.93717,KIC 11853905
7ScH1-gm55045.02218,KIC 11853905
7ScH1-gm55048.88676,KIC 11853905
7ScH1-gm55073.80798,KIC 11853905
7ScH1-gm55074.79669,KIC 11853905
7ScH1-gm55076.96291,KIC 11853905
7ScH1-gm55078.83041,KIC 11853905
7ScH1-gm55078.84483,KIC 11853905
7ScH1-gm55078.85939,KIC 11853905
7ScH1-gm55078.90310,KIC 11853905
7ScH1-gm55079.94826,KIC 11853905
7ScH1-gm55080.77069,KIC 11853905
7ScH1-gm55081.79009,KIC 11853905
7ScH1-gm55081.81274,KIC 11853905
7ScH1-gm55082.96540,KIC 11853905
7ScH1-gm55106.79478,KIC 11853905
7ScH1-gm55110.76594,KIC 11853905
7ScH1-gm55111.75986,KIC 11853905
7ScH1-gm55134.71461,KIC 11853905
7ScH1-hi55396.95287,KIC 11853905
7ScH1-hi55471.83435,KIC 11853905
7ScH1-hi56134.98001,KIC 11853905
72S-hi55081.89546,KIC 11904151
72Sc-hi56826.89803,KIC 11904151
72Sc-hi56842.00194,KIC 11904151
72Sc-hi56842.95446,KIC 11904151
72Sc-hi56843.95104,KIC 11904151
72Sc-hi56862.87453,KIC 11904151
72Sc-hi56863.86017,KIC 11904151
72Sc-hi56864.90047,KIC 11904151
72Sc-hi56865.94573,KIC 11904151
72Sc-hi56882.93477,KIC 11904151
72Sc-hi56883.77061,KIC 11904151
72Sc-hi56889.01246,KIC 11904151
72Sc-hi56906.90988,KIC 11904151
72Sc-hi56907.77185,KIC 11904151
72Sc-hi56908.97676,KIC 11904151
72Sc-hi56909.88478,KIC 11904151
72Sc-hi56913.74157,KIC 11904151
72Sc-hi57151.11485,KIC 11904151
72Sc-hi57180.07502,KIC 11904151
72Sc-hi57235.97162,KIC 11904151
72Sc-hi57354.71031,KIC 11904151
72Sc-hi57355.70642,KIC 11904151
72ScH1-gm55073.90049,KIC 11904151
72ScH1-gm55074.87779,KIC 11904151
72ScH1-gm55075.77334,KIC 11904151
72ScH1-gm55076.86285,KIC 11904151
72ScH1-gm55077.92340,KIC 11904151
72ScH1-gm55078.92239,KIC 11904151
72ScH1-gm55079.97287,KIC 11904151
72ScH1-gm55080.89606,KIC 11904151
72ScH1-gm55081.89546,KIC 11904151
72ScH1-gm55081.96927,KIC 11904151
72ScH1-gm55082.84788,KIC 11904151
72ScH1-gm55083.76085,KIC 11904151
72ScH1-gm55083.94538,KIC 11904151
72ScH1-gm55084.87799,KIC 11904151
72ScH1-gm55106.88991,KIC 11904151
72ScH1-gm55108.88512,KIC 11904151
72ScH1-gm55108.89092,KIC 11904151
72ScH1-gm55111.83010,KIC 11904151
72ScH1-gm55169.71177,KIC 11904151
72ScH1-gm55169.72092,KIC 11904151
72ScH1-gm55169.73389,KIC 11904151
72ScH1-gm55170.71511,KIC 11904151
72ScH1-gm55170.73365,KIC 11904151
72ScH1-hi55312.04715,KIC 11904151
72ScH1-hi55313.00412,KIC 11904151
72ScH1-hi55314.00481,KIC 11904151
72ScH1-hi55315.11127,KIC 11904151
72ScH1-hi55317.99847,KIC 11904151
72ScH1-hi55318.12128,KIC 11904151
72ScH1-hi55319.02717,KIC 11904151
72ScH1-hi55320.06297,KIC 11904151
72ScH1-hi55321.00652,KIC 11904151
72ScH1-hi55321.96946,KIC 11904151
72ScH1-hi55343.05004,KIC 11904151
72ScH1-hi55344.03195,KIC 11904151
72ScH1-hi55344.96465,KIC 11904151
72ScH1-hi55344.97723,KIC 11904151
72ScH1-hi55345.06831,KIC 11904151
72ScH1-hi55350.97274,KIC 11904151
72ScH1-hi55351.98774,KIC 11904151
72ScH1-hi55373.81361,KIC 11904151
72ScH1-hi55376.86488,KIC 11904151
72ScH1-hi55379.90211,KIC 11904151
72ScH1-hi55403.89796,KIC 11904151
72ScH1-hi55405.05608,KIC 11904151
72ScH1-hi55407.01277,KIC 11904151
72ScH1-hi55411.98572,KIC 11904151
72ScH1-hi55412.80526,KIC 11904151
72ScH1-hi55414.80255,KIC 11904151
72ScH1-hi56103.10673,KIC 11904151
72ScH1-hi56172.80130,KIC 11904151
297S-hi55664.14556,KIC 11905011
781S-hi58383.81697,KIC 11923270
186S-hi56907.96260,KIC 12019440
186Sc-hi56907.96260,KIC 12019440
265S-hi55792.84105,KIC 12024120
265Sc-hi56473.88726,KIC 12024120
265Sc-hi56475.06777,KIC 12024120
265Sc-hi56475.89622,KIC 12024120
265Sc-hi56477.04987,KIC 12024120
265Sc-hi56485.97109,KIC 12024120
265Sc-hi56488.06325,KIC 12024120
265Sc-hi56490.01590,KIC 12024120
265Sc-hi56507.99766,KIC 12024120
265Sc-hi56513.02714,KIC 12024120
265Sc-hi56521.95865,KIC 12024120
265Sc-hi56523.87958,KIC 12024120
265Sc-hi56524.80973,KIC 12024120
265Sc-hi56530.88150,KIC 12024120
265Sc-hi56532.85400,KIC 12024120
265Sc-hi56826.87700,KIC 12024120
265Sc-hi56846.92236,KIC 12024120
265Sc-hi56848.11260,KIC 12024120
265Sc-hi56849.85473,KIC 12024120
265Sc-hi56851.91475,KIC 12024120
265Sc-hi56863.09905,KIC 12024120
265Sc-hi56866.00433,KIC 12024120
